语例ID,主语(目标域),谓语(源域),目标域,目标域名称,源域,源域名称,映射方向,映射方向标签,F_field,A_level,D_number,D_abstract,I_depth,S_schema,D_processing,CC连续值,CC等级(等距法),标注覆盖,CC标注值,CC等级(五分位法)
xb_00033,第三条,革命道路,SC,社会,TR,交通,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00034,这些影片,革命战争的忏悔录,EV,事件,OB,物体,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
xb_00035,帝国主义和殖民主义,威胁世界和平和制造国际紧张局势的根源,SC,社会,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00036,忠孝节义,"麻醉人民的""精神毒药""",TH,思维,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00037,工人阶级,革命队伍的先锋,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00038,世界和平,发展两国经济的和社会的资源,SC,社会,EC,经济,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00039,帝国主义,威胁人类和平的世界战争根源,SC,社会,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00040,我们青年,革命事业的接班人,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00041,美帝国主义,亚洲和世界人民的共同敌人,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00042,森林,"调节雨水的""能手""",AB,抽象,BD,建筑,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00043,干旱,庄稼的死对头,AB,抽象,BD,建筑,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00044,辩证法,批判资本主义和同它斗争的武器,AB,抽象,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00045,封建法律,束缚农民群众的锁链,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00046,青年,劳动主力军,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00047,病虫害,威胁农业生产和畜牧业生产的大敌,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00048,美帝国主义,侵略世界人民的元凶,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00049,毛主席著作,改造思想的锐利武器,TH,思维,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00050,柜台,革命岗位,AB,抽象,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00051,服务行业,革命行业,AB,抽象,TR,交通,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00052,时代精神,革命精神,AB,抽象,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00053,水土保持,发展山区生产的生命线,AB,抽象,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00054,赵疃,革命武装斗争中全省闻名的英雄村庄之一,AB,抽象,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00055,贫农下中农,建设社会主义和共产主义事业在农村的社会基础,SC,社会,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00056,美帝国主义,侵略势力的头子,SC,社会,BD,建筑,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00057,材料供应部门,生产大军的后勤部,AB,抽象,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00058,连队,革命熔炉,SC,社会,MC,医疗,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00059,农村俱乐部,传播社会主义思想和文化的阵地,EM,情感,WR,战争,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
xb_00060,维尼纶,合成纤维的一个品种,AB,抽象,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00061,美帝国主义,全世界人民最凶恶的敌人,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00062,毛泽东思想,革命人民和民族解放运动的灯塔,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00063,粮食,劳动人民的血汗,AB,抽象,BD,建筑,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00064,毛泽东思想,革命英雄的思想武库,TH,思维,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00065,人民战争,革命人民对付帝国主义及其走狗的法宝,LF,光线,OB,物体,2,具体→抽象,0.2,0.0,0.4,0.15,0.33,0.33,0.33,0.231,2,否,2,2
xb_00066,现在的江山,革命先辈拼命流血打下来的成果,SC,社会,SP,空间,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00067,他们的意见,检验县委工作最准确的标尺,AB,抽象,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00068,社会主义体系,革命力量的主要成果,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00069,三尺柜台,革命阵地,AB,抽象,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00070,毛泽东思想,指导人们从事科学实验的无比锐利的思想武器,TH,思维,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00071,美国强盗,泥足巨人,MR,机器,LV,生命,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,2,2
xb_00072,青年,生产第一线的主力,AB,抽象,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00073,美帝国主义,全世界人民的大仇人,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00074,阶级观点,研究社会历史的基本方法,TM,时间,OB,物体,3,抽象→抽象,0.4,0.33,0.6,0.415,0.67,0.33,0.534,0.4686,3,否,3,3
xb_00075,工厂,教育青少年的大课堂,EV,事件,OB,物体,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,1,2
xb_00076,封建地主阶级的官僚,劳动人民的死对头,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00077,历史,劳动人民创造的,TM,时间,OB,物体,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00078,车间,生产第一线,EV,事件,WR,战争,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,1,2
xb_00079,共产党,劳动人民的再生母亲,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00080,毛主席著作,革命人民必读的教科书,TH,思维,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00081,毛泽东思想,革命人民战无不胜的强大武器,TH,思维,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00082,毛泽东思想,革命人民的法宝,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00083,解放军,播种队,AB,抽象,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00084,毛主席思想,革命人民心里的红太阳,TH,思维,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00085,毛泽东思想,革命哲学的精华,TH,思维,FD,食物,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00086,毛泽东思想,照亮世界革命道路的指路明灯,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00087,这件事,教育职工的活教材,LF,光线,OB,物体,2,具体→抽象,0.2,0.0,0.4,0.15,0.33,0.33,0.33,0.231,2,否,1,2
xb_00088,毛泽东思想,革命力量的无限源泉,TH,思维,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00089,毛主席著作,革命战士的粮食,AB,抽象,FD,食物,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00090,毛泽东思想,攀登科学高峰的金桥,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00091,毛主席的话,劳动人民的心里话,CM,通讯,SP,空间,3,抽象→抽象,0.6,0.33,0.6,0.465,0.67,0.33,0.534,0.496,3,否,3,3
xb_00092,毛泽东思想,革命人民的命根子,TH,思维,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00093,美国政府,垄断资产阶级的代表,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00094,解放军,最好的毛泽东思想大学校,AB,抽象,MC,医疗,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00095,毛泽东思想,改造人们灵魂的锐利武器,TH,思维,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00096,毛主席的书,革命的无价之宝,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00097,枪,革命战士的第二条生命,OB,物体,LV,生命,4,抽象→具体,0.2,0.0,0.4,0.15,0.67,0.67,0.67,0.384,2,否,4,2
xb_00098,农民,革命活力的一个无穷无尽的泉源,SC,社会,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00099,毛主席著作,革命思想的最大源泉,AB,抽象,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00100,人民解放军,革命小将的最坚强的后盾,SC,社会,FC,力量,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00101,奴隶主义,剥削制度的产物,TH,思维,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00102,毛泽东思想,我们的命根子,TH,思维,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00103,毛主席著作,革命人民的无价之宝,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00104,剥削制度,劳动人民苦难的根源,SC,社会,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00105,毛泽东思想,革命人民的灵魂,TH,思维,BD,建筑,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00106,毛泽东军事思想,革命人民争取解放的灯塔,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00107,革命的大批判,活学活用毛主席著作最好的课堂,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00108,工农兵,革命大批判的主力军,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00109,毛泽东思想,劳动人民革命的火车头,TH,思维,BD,建筑,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00110,毛泽东思想,革命力量的源泉,TH,思维,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00111,毛泽东思想,革命人民威力最大最可靠的思想武器,TH,思维,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00112,无产阶级专政,劳动人民的命根子,SC,社会,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00113,毛主席的话,革命理论的精华,CM,通讯,FD,食物,3,抽象→抽象,0.6,0.33,0.6,0.465,0.67,0.33,0.534,0.496,3,否,3,3
xb_00114,毛主席的著作,革命人民的宝书,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00115,派性,革命队伍中的分裂主义者,AB,抽象,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00116,学习毛主席著作,革命战士生活的第一需要,TH,思维,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00117,毛主席的书,革命人民的精神食粮,AB,抽象,FD,食物,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00118,毛主席著作,革命人民最好的教科书,TH,思维,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00119,用毛泽东思想武装起来的人民群众,最坚固的铜墙铁壁,SC,社会,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00120,毛泽东思想,革命人民的灵魂,TH,思维,BD,建筑,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00121,毛泽东思想,革命人民的命根子,TH,思维,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00122,人民群众,革命政权力量的源泉,LF,光线,NT,自然,2,具体→抽象,0.2,0.0,0.4,0.15,0.33,0.33,0.33,0.231,2,否,2,2
xb_00123,家家,革命大批判的战场,SC,社会,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00124,人人,革命大批判的战士,LF,光线,WR,战争,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,2,1
xb_00125,工人阶级,革命主力军,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00126,大地主大资产阶级,劳动人民的死敌,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00127,革命路线,无产阶级和革命人民的生命线,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00128,议会道路,一条走不通的死路,SC,社会,TR,交通,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00129,宗教,麻醉人民的鸦片,AB,抽象,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00130,战无不胜的毛泽东思想,改造人们灵魂的强大武器,TH,思维,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00131,广阔农村,改造思想的好课堂,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00132,人民军队,革命人民的铁拳头,SC,社会,BD,建筑,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00133,美帝国主义,侵略强盗,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00134,资本主义利润,资本家发财致富的泉源,MR,机器,NT,自然,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00135,贫下中农登上讲台,教学领域的一场革命,EV,事件,HM,人体,3,抽象→抽象,0.4,0.33,0.6,0.415,0.67,0.33,0.534,0.4686,3,否,3,3
xb_00136,毛主席的书,革命战士的方向盘,AB,抽象,MC,医疗,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00137,关于'纸老虎'的理论,革命勇气和决心的源泉,TH,思维,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00138,毛泽东思想,革命的法宝,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00139,群众的意见,检查领导工作的一面镜子,TM,时间,NT,自然,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00140,工人,发展科学技术的主力军,LF,光线,WR,战争,2,具体→抽象,0.2,0.0,0.4,0.15,0.33,0.33,0.33,0.231,2,否,2,2
xb_00141,干校,改造世界观的革命熔炉,SC,社会,MC,医疗,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00142,毛泽东思想,革命战士的命根子,TH,思维,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00143,毛主席的革命路线,劳动人民的生命线,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00144,"""五·七""农民学校",批判资产阶级的战场,SC,社会,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00145,毛泽东思想,改造世界观的最锐利的武器,TH,思维,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00146,"""三舒心""思想","改造世界观的""拦路虎""",TH,思维,TR,交通,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00147,毛泽东思想,革命航道的明灯,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00148,毛主席的书,劳动人民的命根子,AB,抽象,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00149,毛泽东思想,革命战士力量的源泉,TH,思维,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00150,人民群众,教育革命的主力军,LF,光线,WR,战争,2,具体→抽象,0.2,0.0,0.4,0.15,0.33,0.33,0.33,0.231,2,否,2,2
xb_00151,多种经营,生产领域中社会主义和资本主义两条道路斗争的重要阵地,EV,事件,WR,战争,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00152,杂草,危害农作物的大敌,AB,抽象,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00153,教学领域,两条路线斗争的重要阵地,AB,抽象,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00154,党的报刊,宣传毛泽东思想的重要工具,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00155,革命青年,无产阶级革命事业的接班人,AB,抽象,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00156,灵魂,地主资产阶级,AB,抽象,HM,人体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00157,毛主席的无产阶级革命路线,我们建设社会主义新农村的根本保证,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00158,妇女干部,各条战线上的骨干力量,LF,光线,BD,建筑,2,具体→抽象,0.2,0.0,0.4,0.15,0.33,0.33,0.33,0.231,2,否,2,2
xb_00159,原料,"工业生产的""粮食""",EV,事件,FD,食物,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
