id,id,construction_type,subject,copula,predicate,source_domain,target_domain,mapping_direction,metaphor_type,thematic_role,copula_function,constructional_meaning,cognitive_accessibility,mapping_basis,conceptual_complexity,embodied_experience,cognitive_reference_point,entailment_richness,prototype_distance,link_type,inter_construction_links,systematicity,conventionality,function_in_network,copula_type,holistic_imagery,relational_thinking,metaphor_novelty,family_marker,inheritance_relation,original_id,full_sentence,construction,time,source,genre,mapping_content,entailment,inheritance_links_detail,polysemy_links_detail,subpart_links_detail,cognitive_reference_point_description,pragmatic_function,context_sensitivity,discourse_type,ca_level,md_label,construction_type_12,ca_code,md_code,type_code
xb_00011,xb_00011,copular_metaphor,民歌,是,劳动人民集体智慧的结晶,OB,AB,2,ontological,theme-result,equative,民歌作为劳动人民集体智慧的凝练和升华,4,similarity,2,0.65,结晶的凝练性和纯粹性,0.8,2,1,"技术是劳动人民的结晶, 文化是沉淀, 艺术是精华, 智慧是财富, [结晶隐喻构式群]",0.85,0.85,1,standard,1.6,1.7,0.5,,继承自基本系表构式,zh55689,五我们说民歌是劳动人民集体智慧的结晶，是劳动人民对于自己劳动、斗争和爱情生活的赞歌,民歌是劳动人民集体智慧的结晶,1961,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00012,xb_00012,copular_metaphor,美帝国主义,是,世界反动的支柱,OB,SC,2,structural,theme-support,equative,美帝国主义在世界反动势力中起支撑和维持作用,4,similarity,2,0.85,支柱的支撑性和承重功能,0.8,1,1,"美帝国主义是殖民制度最重要的支柱, 党是支柱, 基础是支柱, 骨干是支柱, [支柱隐喻构式群]",0.9,0.9,1,standard,1.5,1.6,0.5,,继承自基本系表构式,zh55695,双方认为，美帝国主义的实力政策、新殖民主义是威胁世界和平和造成国际紧张局势的主要根源。美帝国主义是世界反动的支柱。,美帝国主义是世界反动的支柱,1961,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00013,xb_00013,copular_metaphor,技术,是,劳动人民的结晶,OB,TH,2,ontological,theme-result,equative,技术作为劳动人民实践经验的凝练和升华,4,similarity,2,0.65,结晶的凝练性和精华性,0.8,2,1,"民歌是劳动人民集体智慧的结晶, 文化是沉淀, 经验是财富, 知识是宝库, [结晶隐喻构式群]",0.85,0.85,1,standard,1.6,1.8,0.5,,继承自基本系表构式,zh55698,还有人认为，技术是劳动人民的结晶，忽视技术就容易忽视劳动人民的创造。,技术是劳动人民的结晶,1961,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00014,xb_00014,copular_metaphor,人民,是,建设共产主义的决定性力量,FC,SC,2,ontological,theme-agent,equative,人民在社会变革中如同物理力量般起决定性作用,2,similarity,2,0.75,物理力量的作用性和决定性,0.75,1,1,"群众是力量源泉, 人民是主人, 人民是历史创造者, 集体是力量, [力量隐喻构式群]",0.9,0.9,1,standard,1.7,1.8,0.5,,继承自基本系表构式,zh55701,人民是建设共产主义的决定性力量。,人民是建设共产主义的决定性力量,1961,人民日报,新闻,,,,,,,categorization,0.3,新闻,低,具抽,低_具抽,1,2,2
xb_00015,xb_00015,copular_metaphor,人民,是,革命力量的源泉,NT,SC,2,ontological,theme-source,equative,人民作为革命力量产生和涌现的根本来源,4,similarity,2,0.85,源泉的不竭性和根源性,0.85,1,1,"群众是力量源泉, 人民是历史动力, 人民是历史创造者, 根源在人民, [源泉隐喻构式群]",0.9,0.9,1,standard,1.8,1.9,0.5,,继承自基本系表构式,zh55704,它是被压迫人民的自觉要求，而人民是革命力量的源泉。,人民是革命力量的源泉,1961,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00016,xb_00016,copular_metaphor,农业,是,发展国民经济的基础,OB,SC,2,structural,theme-support,equative,农业在国民经济中如同建筑地基般起基础性支撑作用,5,similarity,2,0.9,建筑基础的承载性和稳定性,0.8,1,1,"采掘工业是加工工业的基础, 实践是理论的基础, 经济基础决定上层建筑, 基础不牢地动山摇, [基础隐喻构式群]",0.95,0.95,1,standard,1.6,1.7,0.5,,继承自基本系表构式,zh55707,1961年，连续三年发生了严重的自然灾害，造成了农业的减产。农业是发展国民经济的基础。,农业是发展国民经济的基础,1961,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00017,xb_00017,copular_metaphor,水土保持,是,发展山区生产的生命线,LV,SC,2,structural,theme-support,equative,水土保持对山区生产如同生命线对生命般至关重要,5,similarity,2,0.85,生命线的维系性和不可或缺性,0.85,1,1,"X是生命线, 农业是基础, 政策是命脉, 措施是保障, [生命线隐喻构式群]",0.9,0.9,1,standard,1.7,1.8,0.5,,继承自基本系表构式,zh55716,"人们常说：""水土保持是发展山区生产的生命线""。",水土保持是发展山区生产的生命线,1962,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00018,xb_00018,copular_metaphor,心脏,是,循环系统的总枢纽,SP,LF,4,structural,theme-central_node,equative,心脏在循环系统中如同交通枢纽般起中心调控作用,3,similarity,4,0.9,枢纽的中心性和调控性,0.85,1,1,"大脑是指挥中心, 肝脏是代谢枢纽, 中心是枢纽, 核心是枢纽, [枢纽隐喻构式群]",0.9,0.95,1,standard,1.5,1.8,0.5,,继承自基本系表构式,zh55720,心脏是循环系统的总枢纽。心脏收缩使血液由心内排出，经过动脉系统流至全身；而全身静脉血液又经过静脉系统回到心脏。,心脏是循环系统的总枢纽,1962,人民日报,新闻,,,,,,,explanation,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00019,xb_00019,copular_metaphor,鱼群探测器,是,侦察鱼群的现代化利器,WR,AB,1,ontological,theme-instrument,equative,探测器如同军事利器般在捕捞作业中发挥关键作用,4,similarity,2,0.7,利器的锐利性和有效性,0.75,2,1,"总路线是武器, 文艺是武器, 理论是武器, 技术是利器, [工具隐喻构式群]",0.85,0.85,1,standard,1.4,1.5,0.5,,继承自基本系表构式,zh55723,第三，装备鱼群探测器。鱼群探测器是侦察鱼群的现代化利器，希望有关单位加强研究生产。,鱼群探测器是侦察鱼群的现代化利器,1962,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00020,xb_00020,copular_metaphor,人的精神面貌,是,意气风发,ST,ST,3,ontological,theme-attribute,equative,精神状态通过面貌特征化得以外显和识别,2,similarity,3,0.75,面貌的可观察性和识别性,0.7,2,1,"精神是面貌, 态度是表情, 心理是外表, 内在是外在, [面貌隐喻构式群]",0.8,0.85,1,standard,1.6,1.7,0.5,,继承自基本系表构式,zh55732,人的精神面貌是意气风发，斗志昂扬，以劳动为光荣,人的精神面貌是意气风发,1962,人民日报,新闻,,,,,,,categorization,0.3,新闻,低,抽抽,低_抽抽,1,3,3
xb_00021,xb_00021,copular_metaphor,凯恩斯主义,是,垄断资本在世界资本主义体系总危机和衰落时期的基本经济学,OB,TH,3,ontological,theme-instrument,equative,凯恩斯主义作为垄断资本服务的理论工具,3,similarity,4,0.4,经济学体系的基础性和系统性,0.75,2,1,"凯恩斯主义是垄断资本的思想体系, 理论是工具, 思想是武器, 学说是手段, [思想体系隐喻构式群]",0.85,0.8,1,standard,1.5,1.7,0.5,,继承自基本系表构式,zh55739,"已故美国共产党名誉主席福斯特曾经说过：""凯恩斯主义是垄断资本在世界资本主义体系总危机和衰落时期的基本经济学""",凯恩斯主义是垄断资本的基本经济学,1962,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00022,xb_00022,copular_metaphor,叛徒,是,革命事业最危险的敌人,HM,AB,1,ontological,agent-agent,equative,叛徒在革命事业中如同军事敌人般起破坏作用,5,similarity,2,0.75,敌人的破坏性和危险性,0.8,1,1,"美帝国主义是敌人, 和平的敌人是侵略势力, 罪魁祸首是敌人, 反动派是敌人, [敌人隐喻构式群]",0.9,0.9,1,standard,1.5,1.7,0.5,,继承自基本系表构式,zh55741,叛徒是革命事业最危险的敌人，叛徒能起到帝国主义、反动派和汉奸所不能起的对革命的破坏作用。,叛徒是革命事业最危险的敌人,1962,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00023,xb_00023,copular_metaphor,和平的敌人,是,侵略势力,HM,MR,4,ontological,agent-agent,equative,侵略势力作为和平的对立面和破坏者,2,similarity,4,0.65,敌人的对立性和破坏性,0.75,1,1,"叛徒是革命事业最危险的敌人, 美帝国主义是敌人, 侵略者是敌人, 反动势力是敌人, [敌人隐喻构式群]",0.9,0.9,1,standard,1.4,1.7,0.5,,继承自基本系表构式,zh55745,阐述了中国代表团的观点和立场，坚持在决议草案中要指出和平的敌人是侵略势力,和平的敌人是侵略势力,1962,人民日报,新闻,,,,,,,categorization,0.3,新闻,低,抽具,低_抽具,1,4,4
xb_00024,xb_00024,copular_metaphor,修正主义,是,麻醉人民的鸦片,HM,TH,2,ontological,theme-instrument,equative,修正主义如同鸦片般麻痹和毒害人民的思想,4,similarity,2,0.7,鸦片的麻醉性和毒害性,0.85,2,1,"宗教是鸦片, 迷信是毒药, 错误思想是毒瘤, 糖衣炮弹是毒药, [毒品隐喻构式群]",0.85,0.85,1,standard,1.6,1.6,0.5,,继承自基本系表构式,zh55752,修正主义是麻醉人民的鸦片，是安慰奴隶的靡靡之音。,修正主义是麻醉人民的鸦片,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00025,xb_00025,copular_metaphor,美国政府,是,垄断资本集团的工具,OB,SC,2,ontological,theme-instrument,equative,政府作为垄断资本实现统治目的的工具,4,similarity,2,0.75,工具的使用性和服务性,0.8,1,1,"国家机器是垄断资本实行阶级统治的工具, 蒋匪军是保护剥削阶级利益的工具, 会计是资本家盘剥劳动者的工具, 政策是工具, [工具隐喻构式群]",0.9,0.85,1,standard,1.4,1.8,0.5,,继承自基本系表构式,zh55754,他又说，锡兰共产党一向认为，美国政府是垄断资本集团的工具,美国政府是垄断资本集团的工具,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00026,xb_00026,copular_metaphor,雷锋同志,是,劳动人民的好儿子,HM,SC,1,ontological,agent-agent,equative,雷锋与劳动人民之间如同子女与父母般的亲密关系,5,similarity,2,0.85,儿子的孝顺性和归属性,0.8,1,1,"党是母亲, 祖国是母亲, 人民是父母, 战士是儿女, [家庭隐喻构式群]",0.9,0.9,1,standard,1.8,1.9,0.5,,继承自基本系表构式,zh55757,"这期《中国青年》还发表了周恩来总理的题词：""雷锋同志是劳动人民的好儿子，毛主席的好战士""",雷锋同志是劳动人民的好儿子,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00027,xb_00027,copular_metaphor,美国的国家机器,是,垄断资本实行阶级统治的工具,MC,SC,2,structural,theme-instrument,equative,国家机构作为垄断资本实现阶级统治的机械化工具,4,similarity,2,0.75,机器的机械性和工具性,0.85,1,1,"美国政府是垄断资本集团的工具, 国家是机器, 政权是工具, 统治机器是工具, [国家机器隐喻构式群]",0.95,0.9,1,standard,1.5,1.8,0.5,,继承自基本系表构式,zh55758,美国共产党领导人还承认马克思列宁主义的国家学说，承认美国的国家机器是垄断资本实行阶级统治的工具,美国的国家机器是垄断资本实行阶级统治的工具,1963,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00028,xb_00028,copular_metaphor,美帝国主义,是,革命文化的头号敌人,HM,SC,2,ontological,agent-agent,equative,美帝国主义对革命文化如同头号军事敌人般起破坏作用,5,similarity,2,0.7,敌人的对立性和威胁性,0.75,1,1,"美帝国主义是侵略元凶, 叛徒是革命事业最危险的敌人, 和平的敌人是侵略势力, 反动派是敌人, [敌人隐喻构式群]",0.9,0.9,1,standard,1.5,1.7,0.5,,继承自基本系表构式,zh55760,印度尼西亚文协首次代表大会开幕，指出美帝国主义是革命文化的头号敌人,美帝国主义是革命文化的头号敌人,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00029,xb_00029,copular_metaphor,企业的各项规程制度,是,生产经验的结晶,OB,SC,2,ontological,theme-result,equative,规程制度作为生产经验的凝练和升华,4,similarity,2,0.65,结晶的凝练性和精华性,0.8,2,1,"民歌是劳动人民集体智慧的结晶, 技术是劳动人民的结晶, 经验是财富, 制度是规范, [结晶隐喻构式群]",0.85,0.85,1,standard,1.6,1.7,0.5,,继承自基本系表构式,zh55762,企业的各项规程制度是生产经验的结晶，是生产操作的准则。,企业的各项规程制度是生产经验的结晶,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00030,xb_00030,copular_metaphor,美帝国主义,是,侵略元凶,HM,SC,2,ontological,agent-agent,equative,美帝国主义在国际侵略中如同犯罪元凶般起主导和首恶作用,5,similarity,2,0.7,元凶的首恶性和罪责性,0.8,1,1,"美国政府是威胁世界和平的罪魁祸首, 罪人是元凶, 祸害是罪源, 首恶是元凶, [犯罪隐喻构式群]",0.9,0.9,1,standard,1.5,1.6,0.5,,继承自基本系表构式,zh55763,所有事实清楚地表明：美帝国主义是侵略元凶，是亚洲和全世界人民最凶恶的敌人。,美帝国主义是侵略元凶,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00031,xb_00031,copular_metaphor,美帝国主义,是,威胁世界和平、阻挠人民解放斗争的国际反动派的元凶,HM,SC,2,ontological,agent-agent,equative,美帝国主义在威胁世界和平和阻挠人民解放斗争中如同国际反动派的首恶般起主导作用,5,similarity,2,0.7,元凶的首恶性和主导性,0.85,1,1,"美帝国主义是侵略元凶, 美帝国主义是革命文化的头号敌人, 帝国主义是威胁世界和平的根源, 元凶是罪魁, [犯罪隐喻构式群]",0.9,0.9,1,standard,1.6,1.7,0.5,,继承自基本系表构式,zh55778,疆土，实现统一祖国的伟大事业。同志们：美帝国主义是威胁世界和平、阻挠人民解放斗争的国际反动派的元凶，是全世界人民最凶恶的,美帝国主义是威胁世界和平、阻挠人民解放斗争的国际反动派的元凶,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00032,xb_00032,copular_metaphor,上校,是,屠杀人民的刽子手,BD,SC,1,ontological,agent-agent,equative,上校对人民的残暴行为如同刽子手执行死刑般残忍,5,similarity,2,0.75,刽子手的残忍性和杀戮性,0.8,1,1,"反动派是人民的刽子手, 统治者是刽子手, 屠夫是杀人者, 行刑者是刽子手, [刽子手隐喻构式群]",0.85,0.85,1,standard,1.7,1.6,0.5,,继承自基本系表构式,zh55779,"卑怯无耻地取消了的一切权利。""告人民书谴责统治危地马拉的这批上校是屠杀人民的刽子手！告人民书最后说：""我们团结一致，必将胜利。""新华社讯",上校是屠杀人民的刽子手,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00033,xb_00033,copular_metaphor,第三条,是,革命道路,TR,SC,2,structural,theme-path,equative,第三条如同一条引领革命前进的具体道路,4,similarity,2,0.9,道路的方向性和引导性,0.85,1,1,"革命是道路, 社会主义是光明大道, 前进是道路, 发展是道路, [道路隐喻构式群]",0.95,0.95,1,standard,1.8,1.7,0.5,,继承自基本系表构式,zh55785,"隐蔽的敌人的破坏活动进行斗争，以保护生产和生产手段。艾地说，第三条是革命道路。是进行全面对抗的道路。在政治上，我们应当不断揭露""马来西亚""",第三条是革命道路,1963,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00034,xb_00034,copular_metaphor,这些影片,是,革命战争的忏悔录,OB,EV,1,ontological,theme-theme,equative,影片对革命战争的态度如同忏悔录般带有悔过和否定色彩,4,similarity,2,0.6,忏悔录的悔过性和否定性,0.75,2,1,"作品是宣言, 文章是批判书, 影片是武器, 作品是记录, [文本隐喻构式群]",0.75,0.7,2,standard,1.5,1.6,0.5,,继承自基本系表构式,zh55787,"标本""。接着，文章就从两个方面对这些影片进行了批判：一、这些影片是革命战争的忏悔录；二、它们丑化人民，否定人民群众的英雄行为，同革命英雄",这些影片是革命战争的忏悔录,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00035,xb_00035,copular_metaphor,帝国主义和殖民主义,是,威胁世界和平和制造国际紧张局势的根源,LV,SC,2,ontological,agent-source,equative,帝国主义和殖民主义如同植物的根源般是国际冲突的起点和原因,4,similarity,2,0.75,根源的起点性和因果性,0.85,1,1,"帝国主义是战争根源, 根源是起点, 源头是根本, 原因是根源, [根源隐喻构式群]",0.9,0.9,1,standard,1.6,1.8,0.5,,继承自基本系表构式,zh55789,主义、争取和维护民族独立进行的斗争，并且一致认为，帝国主义和殖民主义是威胁世界和平和制造国际紧张局势的根源。两国领导人一致指出，为了有效地保,帝国主义和殖民主义是威胁世界和平和制造国际紧张局势的根源,1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00036,xb_00036,copular_metaphor,忠孝节义,是,"麻醉人民的""精神毒药""",HM,TH,2,ontological,theme-instrument,equative,忠孝节义对人民思想的麻痹作用如同毒药对身体的毒害,4,similarity,2,0.8,毒药的麻醉性和危害性,0.85,1,1,"宗教是麻醉人民的鸦片, 修正主义是麻醉人民的鸦片, 毒品是毒害, 麻醉剂是毒药, [毒品隐喻构式群]",0.9,0.85,1,standard,1.7,1.7,0.5,,继承自基本系表构式,zh55790,"冯其庸更根据大量的材料，进一步论证了封建道德是没有人民性的，忠孝节义是麻醉人民的""精神毒药""。他着重分析了忠孝道德从殷周时代至明清以来的历史","忠孝节义是麻醉人民的""精神毒药""",1963,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00037,xb_00037,copular_metaphor,工人阶级,是,革命队伍的先锋,WR,SC,2,ontological,agent-agent,equative,工人阶级在革命斗争中如同军事先锋般处于前列和起引领作用,3,similarity,2,0.75,先锋的前列性和引领性,0.8,1,1,"青年是先锋, 党是先锋队, 先锋是领导者, 前卫是先锋, [先锋隐喻构式群]",0.9,0.9,1,standard,1.7,1.8,0.5,,继承自基本系表构式,zh55792,上了和社会主义道路和广大劳动人民的信念相违背的资产阶级道路。工人阶级是革命队伍的先锋，对于革命是最坚决的，工人的思想是最纯洁的，可是，一旦失,工人阶级是革命队伍的先锋,1964,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,具抽,中_具抽,2,2,6
xb_00038,xb_00038,copular_metaphor,世界和平,是,发展两国经济的和社会的资源,EC,SC,2,ontological,theme-instrument,equative,世界和平如同物质资源般是发展经济和社会的必需条件,4,similarity,2,0.65,资源的必需性和可利用性,0.75,2,1,"和平是财富, 条件是资源, 基础是资源, 环境是资源, [资源隐喻构式群]",0.8,0.75,2,standard,1.4,1.6,0.5,,继承自基本系表构式,zh55794,人民将一致地为消除国际紧张局势、保卫世界和平而继续努力。世界和平是发展两国经济的和社会的资源、提高两国人民的生活水平所必需的因素。双方表,世界和平是发展两国经济的和社会的资源,1964,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00039,xb_00039,copular_metaphor,帝国主义,是,威胁人类和平的世界战争根源,LV,SC,2,ontological,agent-source,equative,帝国主义如同植物的根源般是世界战争的起点和根本原因,4,similarity,2,0.75,根源的起点性和因果性,0.85,1,1,"帝国主义和殖民主义是威胁世界和平的根源, 帝国主义是战争根源, 根源是起点, 原因是根源, [根源隐喻构式群]",0.9,0.9,1,standard,1.6,1.8,0.5,,继承自基本系表构式,zh55796,对帝国主义的斗争，直到根除帝国主义。中国和苏丹两国领导人关于帝国主义是威胁人类和平的世界战争根源的论断，完全符合当前世界的现实局势，并且充分,帝国主义是威胁人类和平的世界战争根源,1964,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00040,xb_00040,copular_metaphor,我们青年,是,革命事业的接班人,HM,SC,1,ontological,agent-agent,equative,青年在革命事业中如同接班人般继承和延续革命传统,5,similarity,2,0.8,接班人的继承性和延续性,0.8,1,1,"青年是未来, 新一代是接班人, 继承者是接班人, 后继者是接班人, [接班人隐喻构式群]",0.9,0.9,1,standard,1.7,1.9,0.5,,继承自基本系表构式,zh55801,国青年共产主义觉悟的根本途径，是我国青年根本的思想建设。我们青年是革命事业的接班人。所谓接班就是接马克思列宁主义的班，接毛泽东思想的班，,我们青年是革命事业的接班人,1964,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
